Prompt,Prompt_Type,Prompt_Length,HCI_Application
Could you Write HTML code for animate an element,Declarative,48,Code Generator
Good afternoon,Declarative,14,Conversational UI
I need suggestions for a movie,Declarative,30,Chatbot Interface
Teach me DNA,Declarative,12,Educational Bot
Create a chart showing temperature changes,Declarative,42,Graph Generation
Who discovered the internet,Interrogative,27,Knowledge Assistant
Help me decide!!,Declarative,16,Chatbot Interface
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Show me the library,Imperative,19,Location Services UI
Good afternoon!!,Declarative,16,Conversational UI
Write Python code for compute factorial,Declarative,39,Code Generator
Information on history please,Declarative,29,Graph Generation
Facts about ancient Egypt,Declarative,25,Knowledge Assistant
Tell me about photosynthesis,Declarative,28,Educational Bot
Generate code in Python to compute factorial,Declarative,44,Code Generator
How does cell division work,Interrogative,27,Educational Bot
Give me advice on hobbies,Declarative,25,Chatbot Interface
Plot a graph for stock prices,Declarative,29,Graph Generation
Facts about dinosaurs,Declarative,21,Knowledge Assistant
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Navigate to the mall,Declarative,20,Location Services UI
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Who discovered the airplane,Interrogative,27,Knowledge Assistant
Directions to the library,Declarative,25,Location Services UI
Plot a graph for temperature changes,Declarative,36,Graph Generation
What's the Arabic word for yes,Interrogative,30,Real-Time Translation UI
Convert goodbye from English to Italian,Declarative,39,Real-Time Translation UI
I need to understand quantum mechanics,Declarative,38,Educational Bot
Good afternoon,Declarative,14,Conversational UI
Code example for a login API in JavaScript,Declarative,42,Code Generator
Translate where is the bathroom to Chinese,Imperative,42,Real-Time Translation UI
Capital of Mexico,Declarative,17,Location Services UI
What is photosynthesis?,Interrogative,23,Educational Bot
Visualize user growth as pie!!,Declarative,30,Graph Generation
Fix this code: button { color red; },Declarative,36,Code Rectification
What happened in the Cold War,Interrogative,29,Knowledge Assistant
Goodbye,Declarative,7,Conversational UI
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
Could you Hello,Declarative,15,Conversational UI
Help with understanding,Declarative,23,Code Rectification
I would like to learn something new,Declarative,35,Chatbot Interface
Find the result of 94 subtract 31 thanks,Imperative,40,Voice Calculator
Explain democracy,Imperative,17,Educational Bot
Information on science,Declarative,22,Real-Time Translation UI
Help with learning,Declarative,18,Conversational UI
Who invented the steam engine,Interrogative,29,Knowledge Assistant
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Information on history,Declarative,22,Voice Calculator
How do you say hello in Portuguese,Interrogative,34,Real-Time Translation UI
73 over 1 equals what,Declarative,21,Voice Calculator
Can you translate sorry into Korean,Declarative,35,Real-Time Translation UI
What do you think about education,Interrogative,33,Chatbot Interface
What is the capital of Japan,Interrogative,28,Location Services UI
History of the pyramids,Conversational,23,Knowledge Assistant
Create a Python script that a login API!!,Declarative,41,Code Generator
I need help with homework,Declarative,25,Code Rectification
Please What do you think about education,Declarative,40,Chatbot Interface
Debug the following: for i in range(10) print(i),Declarative,48,Code Rectification
Who discovered the light bulb,Interrogative,29,Knowledge Assistant
Tell me more,Declarative,12,Knowledge Assistant
Who discovered penicillin,Interrogative,25,Knowledge Assistant
What is gravity,Interrogative,15,Educational Bot
Describe cell division,Declarative,22,Educational Bot
Correct this Python code: <div class='btn' onclick='alert('hi')'>,Declarative,65,Code Rectification
Thank you,Conversational,9,Conversational UI
Tell me about the Cold War,Declarative,26,Knowledge Assistant
64 minus 30 equals what,Declarative,23,Voice Calculator
Code example for fetch data from API in HTML,Declarative,44,Code Generator
What can you do,Interrogative,15,Conversational UI
Correct this CSS code: <div class='btn' onclick='alert('hi')'>,Declarative,62,Code Rectification
Define DNA,Declarative,10,Educational Bot
32 subtract 30 equals what,Declarative,26,Voice Calculator
Correct this CSS code: button { color red; },Declarative,44,Code Rectification
Find the result of 54 subtract 15,Imperative,33,Voice Calculator
there's an error in try: pass except: pass,Declarative,42,Code Rectification
I need to understand the solar system,Declarative,37,Educational Bot
Hello,Conversational,5,Conversational UI
Convert maybe from English to Hindi,Declarative,35,Real-Time Translation UI
I need to understand democracy,Declarative,30,Educational Bot
Can you help me,Declarative,15,Chatbot Interface
Calculate 24 over 43,Imperative,20,Voice Calculator
Plot a graph for stock prices,Declarative,29,Graph Generation
Give me 68 plus 37,Declarative,18,Voice Calculator
How does gravity work,Interrogative,21,Educational Bot
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Create a JavaScript script that a login API,Declarative,43,Code Generator
Debug the following: <div class='btn' onclick='alert('hi')'>,Declarative,60,Code Rectification
Create a JavaScript script that parse JSON,Declarative,42,Code Generator
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
I need suggestions for a book,Declarative,29,Chatbot Interface
Debug the following: if x = 10: print('hi'),Declarative,43,Code Rectification
Good afternoon,Declarative,14,Conversational UI
Generate code in JavaScript to handle errors,Declarative,44,Code Generator
Recommend a game,Declarative,16,Chatbot Interface
How are you,Interrogative,11,Conversational UI
Convert goodbye from English to Portuguese!!,Declarative,44,Real-Time Translation UI
Who invented the internet,Interrogative,25,Knowledge Assistant
What happened in the Cold War,Interrogative,29,Knowledge Assistant
Good morning,Conversational,12,Conversational UI
Fix this code: <div class='btn' onclick='alert('hi')'>,Declarative,54,Code Rectification
Debug the following: fetch(url).then(res => res.json,Declarative,52,Code Rectification
Fix this code: for i in range(10) print(i),Declarative,42,Code Rectification
How far is the beach,Interrogative,20,Location Services UI
Who wrote The Odyssey,Interrogative,21,Knowledge Assistant
Who invented the radio,Interrogative,22,Knowledge Assistant
Navigate to the train station please,Declarative,36,Location Services UI
Directions to Tokyo,Declarative,19,Location Services UI
What happened in the Cold War,Interrogative,29,Knowledge Assistant
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
Write JavaScript code for create a web page,Declarative,43,Code Generator
What is the capital of Brazil,Interrogative,29,Location Services UI
What can you do?,Interrogative,16,Conversational UI
That's interesting,Declarative,18,Conversational UI
What do you think about hobbies,Interrogative,31,Chatbot Interface
Teach me blockchain,Declarative,19,Educational Bot
Can you help me,Declarative,15,Conversational UI
Translate yes to German,Imperative,23,Real-Time Translation UI
How do you say sorry in French,Interrogative,30,Real-Time Translation UI
Show me the museum,Imperative,18,Location Services UI
Describe quantum mechanics,Declarative,26,Educational Bot
Correct this Python code: try: pass except: pass,Declarative,48,Code Rectification
Write html code for validate form,Declarative,33,Code Generator
Compute 92 to the power of 46,Declarative,29,Voice Calculator
When was the Cold War,Interrogative,21,Knowledge Assistant
Calculate 53 divided by 2,Imperative,25,Voice Calculator
goodbye in French,Declarative,17,Real-Time Translation UI
Describe photosynthesis,Declarative,23,Educational Bot
Hey,Conversational,3,Conversational UI
When was the Moon landing!!,Interrogative,27,Knowledge Assistant
I need to understand gravity,Declarative,28,Educational Bot
What is 94 over 1,Interrogative,17,Voice Calculator
Graph sales data,Declarative,16,Graph Generation
What happened in the Moon landing,Interrogative,33,Knowledge Assistant
There's an error in for i in range(10) print(i),Declarative,47,Code Rectification
Tell me a fun fact,Declarative,18,Chatbot Interface
Visualize user growth as scatter,Declarative,32,Graph Generation
Navigate to Tokyo,Declarative,17,Location Services UI
I need to understand quantum mechanics,Declarative,38,Educational Bot
Give me advice on health,Declarative,24,Chatbot Interface
History of the pyramids,Conversational,23,Knowledge Assistant
Show me information about technology,Imperative,36,Real-Time Translation UI
Can you translate please help me into Chinese,Declarative,45,Real-Time Translation UI
Please Plot a graph for sales data,Declarative,34,Graph Generation
Tell me about the Industrial Revolution,Declarative,39,Knowledge Assistant
Teach me democracy,Declarative,18,Educational Bot
Create a chart showing sales data,Declarative,33,Graph Generation
Create a HTML script that create a web page,Declarative,43,Code Generator
Please There's an error in try: pass except: pass,Declarative,49,Code Rectification
Information on geography,Declarative,24,Real-Time Translation UI
History of space exploration,Conversational,28,Knowledge Assistant
What can you do,Interrogative,15,Conversational UI
How does quantum mechanics work,Interrogative,31,Educational Bot
